,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
112,N/A,N/A,etr,N/A,N/A,N/A,N/A,N/A,136.05,15.01,1.11,1.38,7.53,17.66,3.07,1.5,69.61,14080000000.0,26950000000.0,14.93,10.30,2.16,6.64,2.16,4370000000.0,1.5,940720000.0,5.22,18.20,5.20,1420000000.0,7.91,14030000000.0,1.14,55.83,78.36,1.5,0.40,87.90,4440000.0,3.20,2.50,3990000.0,N/A
113,N/A,N/A,ew,N/A,N/A,N/A,N/A,N/A,27.29,18.89,6.50,6.88,34.92,21.30,9.92,1.5,21.81,15240000000.0,14440000000.0,30.06,2.41,6.22,25.63,6.22,1700000000.0,1.5,811100000.0,7.48,45.40,15.30,1440000000.0,13.34,598100000.0,5.28,20.33,141.28,1.5,1.26,94.20,1150000.0,1.10,1.10,951.53,N/A
114,N/A,N/A,exc,N/A,N/A,N/A,N/A,N/A,92.29,17.90,1.03,1.25,5.92,11.19,2.30,1.5,31.89,28940000000.0,49100000000.0,13.63,1.96,1.79,7.28,1.79,5860000000.0,1.5,1620000000.0,1.88,96.20,17.70,1880000000.0,2.18,22270000000.0,1.38,26.29,33.66,1.5,0.20,75.10,81960000.0,10.80,9.50,82530000.0,N/A
115,N/A,N/A,expe,N/A,N/A,N/A,N/A,N/A,71.19,32.58,2.11,6.84,6.91,10.32,4.44,1.5,44.71,12340000000.0,12560000000.0,20.21,1.56,2.18,16.69,2.18,4580000000.0,1.5,398100000.0,2.99,30.40,17.70,1760000000.0,13.88,1750000000.0,0.70,14.04,97.40,1.5,13.89,92.80,11180000.0,7.90,11.00,10800000.0,N/A
116,N/A,N/A,expr,N/A,N/A,N/A,N/A,N/A,48.61,21.20,0.66,2.56,3.16,6.81,7.49,1.5,25.74,1450000000.0,1350000000.0,14.31,0.83,0.62,6.09,0.62,660950000.0,1.5,68320000.0,0.81,12.80,1.40,346160000.0,4.11,270430000.0,2.28,6.61,17.17,1.5,12.97,90.20,2770000.0,1.70,3.40,3320000.0,N/A
117,N/A,N/A,f,N/A,N/A,N/A,N/A,N/A,473.39,19.94,0.43,2.51,2.21,2.63,1.15,1.5,36.83,62940000000.0,160880000000.0,8.51,0.59,1.12,14.35,1.12,17860000000.0,1.5,3190000000.0,0.80,98.30,4.50,21700000000.0,5.49,119170000000.0,1.74,6.27,15.91,1.5,0.33,57.40,71890000.0,2.60,2.00,76600000.0,N/A
118,N/A,N/A,fast,N/A,N/A,N/A,N/A,N/A,4.70,24.58,3.21,6.26,13.24,21.07,22.17,1.5,12.59,12070000000.0,11810000000.0,20.00,1.49,3.16,13.75,3.16,1900000000.0,1.5,494150000.0,1.66,19.30,13.80,114500000.0,0.39,90000000.0,4.22,6.47,40.80,1.5,13.41,81.50,35640000.0,8.50,12.10,31930000.0,N/A
119,N/A,N/A,fdo,N/A,N/A,N/A,N/A,N/A,33.45,38.54,0.85,5.09,2.20,4.38,7.27,1.5,93.15,9040000000.0,9550000000.0,26.05,33.59,0.90,12.79,0.90,3530000000.0,1.5,233690000.0,2.05,15.60,3.00,171480000.0,1.50,592300000.0,1.65,15.46,78.92,1.5,19.56,83.40,1130000.0,1.40,1.20,1190000.0,N/A
120,N/A,N/A,fdx,N/A,N/A,N/A,N/A,N/A,45.14,19.40,1.01,2.98,5.37,8.94,7.66,1.5,164.96,47970000000.0,53230000000.0,15.61,1.17,1.13,7.89,1.13,28520000000.0,1.5,2530000000.0,8.72,53.40,3.70,3480000000.0,12.26,7230000000.0,2.00,56.43,169.06,1.5,7.09,83.00,3210000.0,1.90,1.20,2880000.0,N/A
121,N/A,N/A,fis,N/A,N/A,N/A,N/A,N/A,75.75,27.20,2.81,2.75,10.59,20.15,5.67,1.5,22.52,18230000000.0,23250000000.0,16.96,1.61,3.63,14.20,3.63,2080000000.0,1.5,690500000.0,2.35,171.60,7.40,492800000.0,1.73,5070000000.0,1.55,23.01,63.94,1.5,0.82,84.20,3320000.0,3.50,1.30,3580000.0,N/A
122,N/A,N/A,fisv,N/A,N/A,N/A,N/A,N/A,115.42,26.14,3.65,5.65,14.88,23.89,8.02,1.5,20.38,18660000000.0,22380000000.0,18.35,1.80,4.42,14.89,4.42,2180000000.0,1.5,754000000.0,2.99,18.10,4.20,294000000.0,1.23,3800000000.0,1.00,13.71,78.16,1.5,1.75,89.90,2840000.0,2.80,1.40,3160000.0,N/A
123,N/A,N/A,flir,N/A,N/A,N/A,N/A,N/A,23.22,21.74,2.75,2.61,13.08,18.05,7.35,1.5,10.85,4219999999.9999995,4200000000.0,16.07,1.23,2.75,12.61,2.75,750370000.0,1.5,200260000.0,1.39,153.20,8.50,531370000.0,3.80,373790000.0,4.33,11.53,30.22,1.5,0.92,99.20,2880000.0,4.60,2.30,2570000.0,N/A
124,N/A,N/A,flr,N/A,N/A,N/A,N/A,N/A,31.65,18.69,0.41,2.84,2.37,5.65,9.20,1.5,136.72,8830000000.0,7660000000.0,13.22,1.60,0.36,5.44,0.36,1400000000.0,1.5,715460000.0,3.20,28.60,13.30,2100000000.0,14.20,1020000000.0,1.73,20.93,59.76,1.5,0.56,89.10,5110000.0,4.20,4.00,5290000.0,N/A
125,N/A,N/A,fls,N/A,N/A,N/A,N/A,N/A,59.48,15.37,1.58,3.98,10.64,15.98,9.74,1.5,35.63,7780000000.0,8220000000.000001,14.52,2.23,1.69,9.24,1.69,1710000000.0,1.5,518840000.00000006,3.76,12.70,0.60,450350000.0,3.34,1150000000.0,1.90,14.38,57.78,1.5,0.31,93.00,5460000.0,3.80,4.70,5340000.0,N/A
126,N/A,N/A,flws,N/A,N/A,N/A,N/A,N/A,61.71,17.13,0.68,3.13,4.23,7.74,11.32,1.5,16.02,715010000.0,761190000.0,25.70,1.30,0.74,7.36,0.74,315670000.0,1.5,43200000.0,0.65,153.90,100.60,101220000.0,1.56,139630000.0,1.25,3.46,11.05,1.5,26.41,63.00,2520000.0,3.70,14.80,2360000.0,N/A
127,N/A,N/A,fmc,N/A,N/A,N/A,N/A,N/A,109.48,25.33,1.92,5.05,7.62,17.71,8.45,1.5,30.28,7750000000.0,9390000000.0,12.85,1.64,2.33,11.09,2.33,1380000000.0,1.5,396000000.0,2.29,182.30,3.40,109500000.0,0.82,1710000000.0,1.54,11.48,58.10,1.5,0.54,92.60,5890000.0,6.20,5.00,5050000.0,N/A
128,N/A,N/A,fosl,N/A,N/A,N/A,N/A,N/A,64.32,11.48,1.18,4.28,10.73,16.44,16.25,1.5,66.37,4110000000.0000005,4660000000.0,12.60,1.40,1.33,6.92,1.33,2000000000.0,1.5,376710000.0,7.10,3.80,0.20,276260000.0,5.48,632820000.0,3.33,19.26,81.53,1.5,18.09,85.00,7720000.0,8.50,17.80,7700000.0,N/A
